Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,999999,-,-,-,31.77,35.22,2,761,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2015,1,1,0,30,7.300000000000001,0.9,0.09,0.67,0,0,0,0,4,7.300000000000001,0,0,0,0,0.28700000000000003,100,168.66,0.9500000000000001,0.17,939,1.1,288,0.8
2015,1,1,1,30,7.2,0.9,0.085,0.67,0,0,0,0,0,7.2,0,0,0,0,0.28500000000000003,100,157.70000000000002,0.9500000000000001,0.17,939,1.1,282,0.7000000000000001
2015,1,1,2,30,8.4,0.5700000000000001,0.181,0.65,0,0,0,0,4,2.1,0,0,0,0,0.254,64.66,145.20000000000002,0.91,0.18,937,1.3,134,0.8
2015,1,1,3,30,8.4,0.54,0.17200000000000001,0.65,0,0,0,0,4,1.7000000000000002,0,0,0,0,0.254,62.82,132.46,0.91,0.18,937,1.3,177,0.7000000000000001
2015,1,1,4,30,8.200000000000001,0.54,0.162,0.65,0,0,0,0,4,1.7000000000000002,0,0,0,0,0.255,63.81,119.81,0.91,0.18,937,1.3,230,0.8
2015,1,1,5,30,8,0.56,0.159,0.65,0,0,0,0,5,1.9000000000000001,0,0,0,0,0.255,65.61,107.41,0.91,0.18,937,1.3,268,0.9
2015,1,1,6,30,8.4,0.59,0.159,0.65,0,0,0,0,4,2.3000000000000003,0,0,0,0,0.256,65.43,95.45,0.91,0.18,938,1.4000000000000001,319,0.8
2015,1,1,7,30,9.8,0.6,0.158,0.65,42,204,63,7,8,4,25,0,7,25,0.257,67.32000000000001,84.04,0.91,0.18,938,1.4000000000000001,342,0.9
2015,1,1,8,30,12.4,0.59,0.154,0.65,86,535,235,0,5,5.300000000000001,19,0,0,19,0.258,61.910000000000004,73.85000000000001,0.91,0.18,939,1.4000000000000001,309,1.2000000000000002
2015,1,1,9,30,14.8,0.59,0.15,0.65,108,695,400,0,8,4.1000000000000005,229,177,0,303,0.259,48.56,65.12,0.91,0.18,939,1.3,307,1.5
2015,1,1,10,30,16.7,0.58,0.148,0.65,120,771,521,0,5,4.1000000000000005,278,32,0,294,0.259,43.230000000000004,58.620000000000005,0.91,0.18,939,1.3,289,1.9000000000000001
2015,1,1,11,30,17.5,0.53,0.15,0.65,127,798,583,0,3,4.7,359,115,0,425,0.259,42.77,55.15,0.91,0.18,938,1.3,277,2.6
2015,1,1,12,30,17.6,0.52,0.14400000000000002,0.65,124,800,579,0,3,5.7,346,208,0,464,0.259,45.71,55.31,0.91,0.18,938,1.4000000000000001,273,3.2
2015,1,1,13,30,17,0.49,0.156,0.65,124,750,510,0,2,6.800000000000001,322,105,0,376,0.259,50.95,59.050000000000004,0.92,0.18,938,1.4000000000000001,271,3.6
2015,1,1,14,30,15.700000000000001,0.42,0.181,0.65,121,634,382,0,3,7.6000000000000005,166,2,0,167,0.258,58.480000000000004,65.76,0.93,0.18,938,1.4000000000000001,271,3.7
2015,1,1,15,30,13.600000000000001,0.35000000000000003,0.213,0.65,101,419,212,0,3,8.5,9,0,0,9,0.258,71.29,74.63,0.93,0.18,939,1.4000000000000001,270,3.4000000000000004
2015,1,1,16,30,10.9,0.28,0.245,0.65,39,68,45,7,3,9,15,0,7,15,0.257,88.28,84.91,0.93,0.18,940,1.4000000000000001,269,2.9000000000000004
2015,1,1,17,30,9.3,0.23,0.274,0.65,0,0,0,0,0,8.700000000000001,0,0,0,0,0.257,96.33,96.41,0.93,0.18,941,1.3,267,2.8000000000000003
2015,1,1,18,30,8.3,0.19,0.298,0.65,0,0,0,0,0,8.3,0,0,0,0,0.257,100,108.41,0.93,0.18,942,1.2000000000000002,266,2.5
2015,1,1,19,30,7.6000000000000005,0.15,0.315,0.65,0,0,0,0,0,7.6000000000000005,0,0,0,0,0.257,100,120.83,0.93,0.18,942,1.1,266,2.3000000000000003
2015,1,1,20,30,7,0.12,0.326,0.65,0,0,0,0,0,7,0,0,0,0,0.258,100,133.5,0.93,0.18,942,1,266,2.1
2015,1,1,21,30,6.5,0.1,0.327,0.65,0,0,0,0,0,6.5,0,0,0,0,0.26,100,146.23,0.93,0.18,942,0.9,265,1.9000000000000001
2015,1,1,22,30,6.2,0.1,0.321,0.65,0,0,0,0,0,6.2,0,0,0,0,0.261,100,158.69,0.93,0.18,942,0.8,266,1.8
2015,1,1,23,30,5.9,0.1,0.303,0.65,0,0,0,0,0,5.9,0,0,0,0,0.263,100,169.27,0.9400000000000001,0.18,942,0.8,265,1.7000000000000002
2015,1,2,0,30,5.6000000000000005,0.12,0.274,0.65,0,0,0,0,0,5.6000000000000005,0,0,0,0,0.264,100,168.66,0.9400000000000001,0.18,942,0.8,265,1.7000000000000002
2015,1,2,1,30,5.7,0.16,0.24,0.65,0,0,0,0,0,5.7,0,0,0,0,0.266,100,157.77,0.9400000000000001,0.18,942,0.8,265,1.6
2015,1,2,2,30,5.9,0.2,0.209,0.65,0,0,0,0,0,5.9,0,0,0,0,0.266,100,145.27,0.9400000000000001,0.18,942,0.8,265,1.5
2015,1,2,3,30,5.9,0.25,0.186,0.65,0,0,0,0,0,5.9,0,0,0,0,0.266,100,132.53,0.9500000000000001,0.18,942,0.9,266,1.5
2015,1,2,4,30,6,0.29,0.17,0.65,0,0,0,0,1,6,0,0,0,0,0.265,100,119.87,0.9500000000000001,0.18,942,1,264,1.4000000000000001
2015,1,2,5,30,6,0.37,0.163,0.65,0,0,0,0,5,6,0,0,0,0,0.265,100,107.47,0.9500000000000001,0.18,942,1,254,1.3
2015,1,2,6,30,6,0.41000000000000003,0.155,0.65,0,0,0,0,0,6,0,0,0,0,0.264,100,95.5,0.9500000000000001,0.18,943,1.1,239,1.4000000000000001
2015,1,2,7,30,7.2,0.4,0.145,0.65,45,206,66,7,4,7,14,0,7,14,0.263,98.68,84.07000000000001,0.9500000000000001,0.18,943,1.1,231,1.9000000000000001
2015,1,2,8,30,9,0.44,0.148,0.65,91,541,241,0,1,7.2,91,541,0,241,0.262,88.71000000000001,73.86,0.96,0.18,944,1.1,230,2.4000000000000004
2015,1,2,9,30,10.4,0.47000000000000003,0.14300000000000002,0.65,112,701,406,0,0,7.300000000000001,112,701,0,406,0.26,81.14,65.11,0.96,0.18,944,1.2000000000000002,237,2.4000000000000004
2015,1,2,10,30,11.600000000000001,0.48,0.133,0.65,119,788,530,0,7,7.300000000000001,274,211,0,384,0.258,74.77,58.58,0.9500000000000001,0.18,943,1.2000000000000002,245,2.4000000000000004
2015,1,2,11,30,12.4,0.42,0.20500000000000002,0.65,158,736,579,0,0,7.2,158,736,0,579,0.257,70.57000000000001,55.08,0.9500000000000001,0.18,942,1.2000000000000002,250,2.3000000000000003
2015,1,2,12,30,12.8,0.43,0.191,0.65,151,750,580,0,0,7.1000000000000005,151,750,0,580,0.256,68.48,55.2,0.9500000000000001,0.18,942,1.2000000000000002,255,2.4000000000000004
2015,1,2,13,30,12.8,0.42,0.176,0.65,138,730,515,0,8,7.1000000000000005,258,341,0,434,0.256,68.51,58.93,0.9500000000000001,0.18,942,1.2000000000000002,257,2.4000000000000004
2015,1,2,14,30,12.4,0.45,0.184,0.65,125,637,388,0,7,7.300000000000001,230,156,0,295,0.255,70.85000000000001,65.63,0.9500000000000001,0.18,942,1.3,259,2.2
2015,1,2,15,30,11.3,0.5,0.184,0.65,96,474,223,0,8,8,150,74,0,170,0.254,80,74.5,0.9500000000000001,0.18,942,1.3,258,1.7000000000000002
2015,1,2,16,30,9.700000000000001,0.48,0.166,0.65,41,154,55,7,8,8.6,15,0,7,15,0.254,92.75,84.77,0.9500000000000001,0.18,942,1.3,250,1.3
2015,1,2,17,30,9.1,0.5,0.156,0.65,0,0,0,0,1,8.1,0,0,0,0,0.254,93.31,96.27,0.9500000000000001,0.18,943,1.3,242,1.2000000000000002
2015,1,2,18,30,8.8,0.54,0.15,0.65,0,0,0,0,4,8,0,0,0,0,0.254,94.67,108.28,0.9500000000000001,0.18,943,1.3,237,1.1
2015,1,2,19,30,8.5,0.5700000000000001,0.145,0.65,0,0,0,0,3,8,0,0,0,0,0.254,96.47,120.7,0.9500000000000001,0.18,943,1.3,235,1.1
2015,1,2,20,30,8.3,0.59,0.137,0.65,0,0,0,0,5,7.9,0,0,0,0,0.254,97.54,133.37,0.9500000000000001,0.18,942,1.3,234,1
2015,1,2,21,30,7.9,0.6,0.127,0.65,0,0,0,0,0,7.800000000000001,0,0,0,0,0.253,99.54,146.1,0.9500000000000001,0.18,942,1.3,235,1
2015,1,2,22,30,7.5,0.6,0.116,0.65,0,0,0,0,1,7.5,0,0,0,0,0.252,100,158.55,0.9500000000000001,0.18,942,1.3,238,1.1
2015,1,2,23,30,7.300000000000001,0.62,0.109,0.65,0,0,0,0,3,7.300000000000001,0,0,0,0,0.251,100,169.13,0.9500000000000001,0.18,942,1.3,242,1
2015,1,3,0,30,7.300000000000001,0.65,0.10200000000000001,0.65,0,0,0,0,0,7.300000000000001,0,0,0,0,0.25,100,168.65,0.9500000000000001,0.18,942,1.3,247,1
2015,1,3,1,30,7.2,0.68,0.098,0.65,0,0,0,0,0,7.2,0,0,0,0,0.25,100,157.82,0.9500000000000001,0.18,942,1.3,253,1
2015,1,3,2,30,7.2,0.73,0.10300000000000001,0.65,0,0,0,0,1,7.2,0,0,0,0,0.25,100,145.33,0.9500000000000001,0.18,941,1.3,262,1
2015,1,3,3,30,7.1000000000000005,0.74,0.10200000000000001,0.65,0,0,0,0,1,7.1000000000000005,0,0,0,0,0.251,100,132.59,0.9500000000000001,0.18,941,1.3,270,1
2015,1,3,4,30,7,0.72,0.095,0.65,0,0,0,0,4,7,0,0,0,0,0.252,100,119.93,0.9400000000000001,0.18,941,1.3,275,0.9
2015,1,3,5,30,6.9,0.73,0.092,0.65,0,0,0,0,5,6.9,0,0,0,0,0.253,100,107.52,0.9400000000000001,0.18,941,1.3,270,0.9
2015,1,3,6,30,7,0.73,0.09,0.65,0,0,0,0,8,7,0,0,0,0,0.253,100,95.54,0.9400000000000001,0.18,941,1.3,258,0.9
2015,1,3,7,30,8.4,0.72,0.08700000000000001,0.65,37,327,71,7,4,8,10,0,7,10,0.253,97.08,84.09,0.9400000000000001,0.18,941,1.3,250,1
2015,1,3,8,30,10.3,0.76,0.08700000000000001,0.65,69,651,250,0,4,8.5,19,0,0,19,0.253,88.81,73.87,0.9400000000000001,0.18,941,1.3,253,1.5
2015,1,3,9,30,11.700000000000001,0.81,0.083,0.65,84,794,418,0,4,7.6000000000000005,123,0,0,123,0.254,75.92,65.1,0.9400000000000001,0.18,941,1.3,256,1.7000000000000002
2015,1,3,10,30,12.700000000000001,0.85,0.078,0.65,91,865,542,0,0,7.1000000000000005,91,865,0,542,0.254,68.58,58.54,0.9400000000000001,0.18,940,1.3,260,2.2
2015,1,3,11,30,13.100000000000001,0.7000000000000001,0.107,0.65,109,854,599,0,1,6.7,109,854,0,599,0.254,65.07000000000001,55,0.9400000000000001,0.18,940,1.3,271,2.8000000000000003
2015,1,3,12,30,13.100000000000001,0.71,0.101,0.65,107,860,599,0,2,6.5,346,87,0,396,0.255,64.32000000000001,55.1,0.9500000000000001,0.18,939,1.3,281,3.4000000000000004
2015,1,3,13,30,12.700000000000001,0.68,0.097,0.65,101,835,533,0,3,6.5,315,84,0,358,0.255,66.15,58.800000000000004,0.9500000000000001,0.18,939,1.3,287,3.9000000000000004
2015,1,3,14,30,11.9,0.73,0.112,0.65,96,746,405,0,4,6.7,26,0,0,26,0.256,70.31,65.49,0.9500000000000001,0.18,939,1.3,291,3.9000000000000004
2015,1,3,15,30,10.700000000000001,0.72,0.117,0.65,77,590,236,0,4,7,9,0,0,9,0.256,77.91,74.35000000000001,0.9500000000000001,0.18,939,1.3,295,3.5
2015,1,3,16,30,9.1,0.68,0.10400000000000001,0.65,37,266,61,7,4,7.6000000000000005,5,0,7,5,0.257,90.36,84.63,0.9500000000000001,0.18,940,1.3,296,2.8000000000000003
2015,1,3,17,30,8,0.66,0.10300000000000001,0.65,0,0,0,0,4,7.6000000000000005,0,0,0,0,0.258,97.07000000000001,96.13,0.96,0.18,940,1.2000000000000002,293,2.5
2015,1,3,18,30,7.6000000000000005,0.64,0.099,0.65,0,0,0,0,4,7.4,0,0,0,0,0.259,98.32000000000001,108.14,0.96,0.18,940,1.2000000000000002,287,2.3000000000000003
2015,1,3,19,30,7.4,0.6,0.092,0.65,0,0,0,0,1,7.2,0,0,0,0,0.26,98.61,120.56,0.96,0.18,940,1.2000000000000002,281,2.3000000000000003
2015,1,3,20,30,7.4,0.63,0.097,0.65,0,0,0,0,3,7.1000000000000005,0,0,0,0,0.26,98.16,133.23,0.96,0.18,940,1.2000000000000002,276,2.3000000000000003
2015,1,3,21,30,7.300000000000001,0.64,0.093,0.65,0,0,0,0,4,7.1000000000000005,0,0,0,0,0.261,98.35000000000001,145.96,0.96,0.18,940,1.2000000000000002,271,2.3000000000000003
2015,1,3,22,30,7.2,0.63,0.088,0.65,0,0,0,0,4,7,0,0,0,0,0.261,98.81,158.41,0.96,0.18,940,1.3,268,2.3000000000000003
2015,1,3,23,30,7,0.65,0.098,0.65,0,0,0,0,0,7,0,0,0,0,0.26,100,168.99,0.97,0.18,940,1.3,266,2.2
2015,1,4,0,30,7,0.63,0.106,0.65,0,0,0,0,4,7,0,0,0,0,0.26,100,168.64000000000001,0.97,0.18,940,1.4000000000000001,263,2.2
2015,1,4,1,30,6.9,0.58,0.106,0.65,0,0,0,0,3,6.9,0,0,0,0,0.262,100,157.87,0.98,0.18,939,1.4000000000000001,260,2.3000000000000003
2015,1,4,2,30,6.9,0.6,0.116,0.65,0,0,0,0,1,6.9,0,0,0,0,0.264,100,145.39000000000001,0.98,0.18,939,1.4000000000000001,260,2.4000000000000004
2015,1,4,3,30,7,0.59,0.113,0.65,0,0,0,0,4,7,0,0,0,0,0.267,100,132.65,0.98,0.18,939,1.4000000000000001,261,2.5
2015,1,4,4,30,7,0.55,0.108,0.65,0,0,0,0,4,7,0,0,0,0,0.271,100,119.99000000000001,0.97,0.18,939,1.4000000000000001,261,2.5
2015,1,4,5,30,6.800000000000001,0.61,0.113,0.65,0,0,0,0,4,6.800000000000001,0,0,0,0,0.274,100,107.57000000000001,0.97,0.18,939,1.4000000000000001,257,2.5
2015,1,4,6,30,6.6000000000000005,0.63,0.099,0.65,0,0,0,0,0,6.6000000000000005,0,0,0,0,0.276,100,95.58,0.96,0.18,939,1.3,250,2.6
2015,1,4,7,30,7.5,0.6,0.089,0.65,38,312,70,0,0,7.5,38,312,0,70,0.277,100,84.12,0.96,0.18,940,1.3,246,2.9000000000000004
2015,1,4,8,30,8.6,0.63,0.091,0.65,72,638,249,0,0,8,72,638,0,249,0.278,95.86,73.87,0.96,0.18,940,1.3,246,3.4000000000000004
2015,1,4,9,30,9.8,0.63,0.098,0.65,92,766,415,0,2,7.6000000000000005,224,22,0,233,0.28,86.18,65.08,0.96,0.18,941,1.3,252,3.7
2015,1,4,10,30,10.600000000000001,0.59,0.10400000000000001,0.65,105,825,536,0,2,7.2,281,36,0,299,0.28200000000000003,79.66,58.480000000000004,0.96,0.18,940,1.3,256,3.8000000000000003
2015,1,4,11,30,11,0.73,0.10300000000000001,0.65,108,859,601,0,0,7,108,859,0,601,0.28400000000000003,76.52,54.92,0.96,0.18,939,1.3,259,3.8000000000000003
2015,1,4,12,30,11.200000000000001,0.75,0.10300000000000001,0.65,108,858,600,0,4,7.1000000000000005,354,142,0,435,0.28800000000000003,75.71000000000001,54.980000000000004,0.96,0.18,939,1.3,260,3.7
2015,1,4,13,30,11.200000000000001,0.72,0.096,0.65,100,837,535,0,3,7.300000000000001,206,1,0,207,0.291,76.67,58.67,0.96,0.18,939,1.3,259,3.5
2015,1,4,14,30,11,0.75,0.105,0.65,93,756,408,0,4,7.5,158,1,0,159,0.294,79.02,65.35,0.96,0.18,939,1.3,257,3.3000000000000003
2015,1,4,15,30,10.200000000000001,0.72,0.10200000000000001,0.65,73,615,241,0,4,8,9,0,0,9,0.295,86.04,74.21000000000001,0.96,0.18,939,1.3,253,2.7
2015,1,4,16,30,8.8,0.65,0.098,0.65,37,280,64,7,4,8.5,4,0,7,4,0.297,98.31,84.49,0.96,0.18,939,1.3,247,2.1
2015,1,4,17,30,8,0.61,0.097,0.65,0,0,0,0,4,8,0,0,0,0,0.298,100,95.99000000000001,0.96,0.18,940,1.3,244,2.1
2015,1,4,18,30,7.6000000000000005,0.5700000000000001,0.092,0.65,0,0,0,0,1,7.6000000000000005,0,0,0,0,0.298,100,108,0.9500000000000001,0.18,940,1.3,242,2
2015,1,4,19,30,7.2,0.54,0.09,0.65,0,0,0,0,3,7.2,0,0,0,0,0.298,100,120.42,0.96,0.18,940,1.3,241,2
2015,1,4,20,30,7,0.53,0.089,0.65,0,0,0,0,4,7,0,0,0,0,0.298,100,133.1,0.96,0.18,940,1.3,238,2
2015,1,4,21,30,6.800000000000001,0.53,0.088,0.65,0,0,0,0,4,6.800000000000001,0,0,0,0,0.298,100,145.83,0.96,0.18,939,1.3,234,2.1
2015,1,4,22,30,6.5,0.53,0.083,0.65,0,0,0,0,4,6.5,0,0,0,0,0.298,100,158.27,0.9500000000000001,0.18,939,1.2000000000000002,229,2.1
2015,1,4,23,30,6.2,0.55,0.085,0.65,0,0,0,0,4,6.2,0,0,0,0,0.299,100,168.85,0.9500000000000001,0.18,939,1.3,225,2.2
2015,1,5,0,30,5.9,0.5700000000000001,0.091,0.65,0,0,0,0,3,5.9,0,0,0,0,0.299,100,168.61,0.96,0.18,939,1.3,221,2.4000000000000004
2015,1,5,1,30,5.6000000000000005,0.58,0.096,0.65,0,0,0,0,0,5.6000000000000005,0,0,0,0,0.3,100,157.91,0.96,0.18,939,1.3,217,2.6
2015,1,5,2,30,5.300000000000001,0.61,0.10400000000000001,0.65,0,0,0,0,3,5.300000000000001,0,0,0,0,0.301,100,145.44,0.96,0.18,938,1.2000000000000002,212,2.6
2015,1,5,3,30,4.9,0.65,0.105,0.65,0,0,0,0,0,4.9,0,0,0,0,0.302,100,132.71,0.9500000000000001,0.18,938,1.2000000000000002,209,2.7
2015,1,5,4,30,4.6000000000000005,0.65,0.1,0.65,0,0,0,0,0,4.6000000000000005,0,0,0,0,0.303,100,120.04,0.9400000000000001,0.18,938,1.1,207,2.8000000000000003
2015,1,5,5,30,4.1000000000000005,0.64,0.098,0.65,0,0,0,0,0,4.1000000000000005,0,0,0,0,0.304,100,107.61,0.9400000000000001,0.18,939,1.1,205,2.8000000000000003
2015,1,5,6,30,4,0.6,0.097,0.65,0,0,0,0,0,4,0,0,0,0,0.304,100,95.61,0.93,0.18,939,1,200,2.7
2015,1,5,7,30,5.300000000000001,0.54,0.1,0.65,38,292,68,0,0,5.2,38,292,0,68,0.303,99.09,84.13,0.92,0.18,939,1,195,3
2015,1,5,8,30,7.6000000000000005,0.48,0.105,0.65,75,615,246,0,0,5.300000000000001,75,615,0,246,0.303,85.4,73.87,0.92,0.18,939,1,200,3.5
2015,1,5,9,30,10.200000000000001,0.43,0.108,0.65,96,754,414,0,0,5.2,96,754,0,414,0.303,71.16,65.05,0.92,0.18,938,1,210,4.3
2015,1,5,10,30,11.8,0.4,0.111,0.65,108,820,538,0,0,4.9,108,820,0,538,0.303,62.72,58.42,0.92,0.18,937,1,213,4.6000000000000005
2015,1,5,11,30,12.700000000000001,0.48,0.082,0.65,99,889,611,0,0,4.6000000000000005,99,889,0,611,0.302,57.84,54.83,0.92,0.18,936,1,214,4.7
2015,1,5,12,30,13.200000000000001,0.49,0.083,0.65,99,888,610,0,0,4.2,99,888,0,610,0.3,54.6,54.86,0.92,0.18,935,1,214,4.6000000000000005
2015,1,5,13,30,13.3,0.47000000000000003,0.089,0.65,98,851,542,0,0,3.9000000000000004,98,851,0,542,0.299,52.800000000000004,58.53,0.92,0.18,934,1,215,4.4
2015,1,5,14,30,12.8,0.43,0.095,0.65,91,773,415,0,0,3.5,91,773,0,415,0.297,53.33,65.2,0.92,0.18,934,1,215,4
2015,1,5,15,30,11.3,0.36,0.105,0.65,76,605,242,0,0,3.8000000000000003,76,605,0,242,0.296,60.03,74.06,0.92,0.18,934,1,213,2.9000000000000004
2015,1,5,16,30,8.5,0.3,0.113,0.65,39,237,63,0,0,5.1000000000000005,39,237,0,63,0.295,78.94,84.34,0.92,0.18,934,1,208,1.8
2015,1,5,17,30,7.300000000000001,0.26,0.12,0.65,0,0,0,0,0,4.800000000000001,0,0,0,0,0.295,84.29,95.84,0.92,0.18,935,1,201,1.8
2015,1,5,18,30,6.9,0.23,0.125,0.65,0,0,0,0,0,4.7,0,0,0,0,0.296,85.75,107.85000000000001,0.92,0.18,935,1,198,1.9000000000000001
2015,1,5,19,30,6.6000000000000005,0.22,0.126,0.65,0,0,0,0,0,4.6000000000000005,0,0,0,0,0.296,87.21000000000001,120.29,0.92,0.18,934,1,196,2
2015,1,5,20,30,6.2,0.23,0.123,0.65,0,0,0,0,0,4.6000000000000005,0,0,0,0,0.297,89.66,132.96,0.92,0.18,934,1,195,2.1
2015,1,5,21,30,5.9,0.26,0.11900000000000001,0.65,0,0,0,0,0,4.6000000000000005,0,0,0,0,0.299,91.65,145.69,0.92,0.18,934,1,196,2.3000000000000003
2015,1,5,22,30,5.6000000000000005,0.29,0.115,0.65,0,0,0,0,0,4.7,0,0,0,0,0.301,93.62,158.13,0.92,0.18,934,1,198,2.4000000000000004
2015,1,5,23,30,5.2,0.29,0.116,0.65,0,0,0,0,0,4.6000000000000005,0,0,0,0,0.302,95.88,168.70000000000002,0.92,0.18,933,1,198,2.4000000000000004
2015,1,6,0,30,4.800000000000001,0.28,0.128,0.65,0,0,0,0,0,4.5,0,0,0,0,0.302,98.10000000000001,168.58,0.93,0.18,933,1,197,2.5
2015,1,6,1,30,4.5,0.25,0.14100000000000001,0.65,0,0,0,0,0,4.4,0,0,0,0,0.301,99.42,157.94,0.93,0.18,933,1,195,2.5
2015,1,6,2,30,4.2,0.22,0.156,0.65,0,0,0,0,3,4.2,0,0,0,0,0.3,100,145.49,0.92,0.19,932,1,193,2.6
2015,1,6,3,30,3.9000000000000004,0.2,0.169,0.65,0,0,0,0,0,3.9000000000000004,0,0,0,0,0.298,100,132.76,0.92,0.19,932,0.9,191,2.6
2015,1,6,4,30,3.8000000000000003,0.18,0.176,0.65,0,0,0,0,0,3.8000000000000003,0,0,0,0,0.296,100,120.08,0.93,0.19,932,0.9,189,2.7
2015,1,6,5,30,3.8000000000000003,0.18,0.18,0.65,0,0,0,0,0,3.8000000000000003,0,0,0,0,0.293,100,107.65,0.93,0.19,932,1,191,2.9000000000000004
2015,1,6,6,30,4.5,0.17,0.192,0.65,0,0,0,0,0,4,0,0,0,0,0.29,96.8,95.64,0.93,0.19,932,1,197,3.4000000000000004
2015,1,6,7,30,6.4,0.15,0.228,0.65,47,95,56,0,0,4.5,47,95,0,56,0.28700000000000003,87.62,84.14,0.93,0.19,933,1,204,4.2
2015,1,6,8,30,8.6,0.12,0.28,0.65,122,344,218,0,0,4.800000000000001,122,344,0,218,0.28400000000000003,76.93,73.86,0.93,0.19,933,1.1,212,5
2015,1,6,9,30,10.5,0.09,0.337,0.65,179,454,371,0,2,4.800000000000001,266,32,0,280,0.28300000000000003,67.58,65.01,0.93,0.19,933,1.2000000000000002,220,5.9
2015,1,6,10,30,11.8,0.08,0.4,0.65,225,490,482,0,3,4.9,263,7,0,266,0.28200000000000003,62.550000000000004,58.36,0.93,0.19,932,1.2000000000000002,228,6.6000000000000005
2015,1,6,11,30,12.4,0.09,0.361,0.65,226,568,553,0,4,5,292,11,0,298,0.28300000000000003,60.77,54.730000000000004,0.93,0.19,931,1.1,232,6.9
2015,1,6,12,30,12.5,0.09,0.36,0.65,226,571,556,0,2,4.4,399,126,0,472,0.28500000000000003,57.76,54.730000000000004,0.93,0.19,931,1,234,7.1000000000000005
2015,1,6,13,30,12.100000000000001,0.08,0.369,0.65,217,523,492,0,3,3,331,37,0,350,0.28700000000000003,53.68,58.38,0.93,0.19,931,0.9,235,7.1000000000000005
2015,1,6,14,30,11.200000000000001,0.02,0.679,0.65,247,224,341,0,4,1.1,113,0,0,113,0.28800000000000003,49.82,65.05,0.93,0.19,932,0.7000000000000001,235,6.800000000000001
2015,1,6,15,30,10,0.02,0.585,0.65,153,132,189,0,1,-0.7000000000000001,153,132,0,189,0.291,47.230000000000004,73.91,0.92,0.19,932,0.6000000000000001,235,6.2
2015,1,6,16,30,8.5,0.03,0.455,0.65,38,14,39,7,3,-1.5,38,14,5,39,0.293,49.29,84.2,0.92,0.19,933,0.5,234,5.5
2015,1,6,17,30,7.4,0.04,0.37,0.65,0,0,0,0,0,-1.4000000000000001,0,0,0,0,0.296,53.52,95.69,0.92,0.19,934,0.5,232,5.300000000000001
2015,1,6,18,30,7,0.04,0.378,0.65,0,0,0,0,0,-1.3,0,0,0,0,0.298,55.61,107.71000000000001,0.93,0.19,934,0.6000000000000001,231,5.6000000000000005
2015,1,6,19,30,6.800000000000001,0.03,0.435,0.65,0,0,0,0,0,-0.9,0,0,0,0,0.3,57.93,120.14,0.93,0.19,935,0.7000000000000001,231,5.9
2015,1,6,20,30,6.6000000000000005,0.03,0.508,0.65,0,0,0,0,0,-0.5,0,0,0,0,0.302,60.33,132.82,0.93,0.19,935,0.7000000000000001,231,6.1000000000000005
2015,1,6,21,30,6.2,0.02,0.546,0.65,0,0,0,0,0,-0.1,0,0,0,0,0.303,64.03,145.55,0.93,0.19,935,0.7000000000000001,231,6.2
2015,1,6,22,30,5.800000000000001,0.02,0.534,0.65,0,0,0,0,4,0.5,0,0,0,0,0.304,68.58,157.98,0.93,0.19,935,0.7000000000000001,232,6
2015,1,6,23,30,5.4,0.03,0.504,0.65,0,0,0,0,4,1,0,0,0,0,0.304,73.38,168.55,0.93,0.19,935,0.7000000000000001,231,5.5
2015,1,7,0,30,5,0.03,0.485,0.65,0,0,0,0,4,1.4000000000000001,0,0,0,0,0.304,77.33,168.54,0.93,0.19,935,0.7000000000000001,228,5.300000000000001
2015,1,7,1,30,4.6000000000000005,0.04,0.47600000000000003,0.65,0,0,0,0,4,1.5,0,0,0,0,0.305,80.19,157.97,0.93,0.19,935,0.7000000000000001,226,5.2
2015,1,7,2,30,4.2,0.04,0.437,0.65,0,0,0,0,0,1.4000000000000001,0,0,0,0,0.305,82.25,145.53,0.93,0.19,934,0.7000000000000001,223,5
